Loading dataset...
Training BDT
Loaded parameter file: /home/llr/t2k/giampaolo/srn/ntag-mva/models/BDT/grid_0_extend/params/038.p
Built BDT with these hyperparameters:
{'learning_rate': 0.3182960289073319, 'n_estimators': 920.0, 'subsample': 0.8890679371308995, 'maximum_depth': 8}
[06:32:39] WARNING: /workspace/src/learner.cc:686: Tree method is automatically selected to be 'approx' for faster speed. To use old behavior (exact greedy algorithm on single machine), set tree_method to 'exact'.
[204]	validation_0-mae:0.038002	validation_0-auc:0.983544	validation_1-mae:0.038285	validation_1-auc:0.983544
[205]	validation_0-mae:0.037986	validation_0-auc:0.983551	validation_1-mae:0.03827	validation_1-auc:0.983549
[206]	validation_0-mae:0.037978	validation_0-auc:0.983555	validation_1-mae:0.038262	validation_1-auc:0.983553
[207]	validation_0-mae:0.037974	validation_0-auc:0.983554	validation_1-mae:0.038259	validation_1-auc:0.983552
[208]	validation_0-mae:0.03795	validation_0-auc:0.983555	validation_1-mae:0.038235	validation_1-auc:0.983553
[209]	validation_0-mae:0.037937	validation_0-auc:0.983558	validation_1-mae:0.038222	validation_1-auc:0.983557
[210]	validation_0-mae:0.037922	validation_0-auc:0.983581	validation_1-mae:0.03821	validation_1-auc:0.983577
[211]	validation_0-mae:0.037915	validation_0-auc:0.983585	validation_1-mae:0.038203	validation_1-auc:0.983579
[212]	validation_0-mae:0.037903	validation_0-auc:0.983603	validation_1-mae:0.038191	validation_1-auc:0.983599
[213]	validation_0-mae:0.037899	validation_0-auc:0.983605	validation_1-mae:0.038187	validation_1-auc:0.983601
[214]	validation_0-mae:0.03788	validation_0-auc:0.983605	validation_1-mae:0.038167	validation_1-auc:0.983601
[215]	validation_0-mae:0.03788	validation_0-auc:0.983619	validation_1-mae:0.038168	validation_1-auc:0.983617
[216]	validation_0-mae:0.037864	validation_0-auc:0.983631	validation_1-mae:0.038149	validation_1-auc:0.983628
[217]	validation_0-mae:0.037858	validation_0-auc:0.983633	validation_1-mae:0.038144	validation_1-auc:0.983631
[218]	validation_0-mae:0.037849	validation_0-auc:0.983655	validation_1-mae:0.038135	validation_1-auc:0.983654
[219]	validation_0-mae:0.037828	validation_0-auc:0.983661	validation_1-mae:0.038113	validation_1-auc:0.983659
